category,brand,product_name,discounted_price,original_price,image_url
fruits vegetables,Fresho,Papaya,₹65,₹91.78,"https://www.bigbasket.com/media/uploads/p/m/40296057_3-fresho-papaya.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Muskmelon -  Netted Small,₹33,₹45.21,"https://www.bigbasket.com/media/uploads/p/m/10000141_25-fresho-muskmelon-netted-small.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Garlic - Peeled,₹254,₹347.95,"https://www.bigbasket.com/media/uploads/p/m/30001964_5-fresho-garlic-peeled.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Royal Gala, Regular",₹470,₹652.06,"https://www.bigbasket.com/media/uploads/p/m/1203783_1-fresho-apple-royal-gala-regular.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lettuce - Iceberg,₹62,₹84.93,"https://www.bigbasket.com/media/uploads/p/m/10000133_14-fresho-lettuce-iceberg.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Dragon Fruit (Loose),₹75,₹105.48,"https://www.bigbasket.com/media/uploads/p/m/40008982_15-fresho-dragon-fruit.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Banana - Nendran,₹26,₹50.68,"https://www.bigbasket.com/media/uploads/p/m/10000345_18-fresho-banana-nendran.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Bitter Gourd (Loose),₹102,₹139.73,"https://www.bigbasket.com/media/uploads/p/m/10000048_21-fresho-bitter-gourd.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Royal Gala, Premium",₹414,₹567.12,"https://www.bigbasket.com/media/uploads/p/m/1203782_1-fresho-apple-royal-gala-premium.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Orange - Nagpur, Regular",₹435,₹595.89,"https://www.bigbasket.com/media/uploads/p/m/1222181_1-fresho-orange-nagpur-regular.jpg?tr=w-3840,q=80"
